Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time_uniform,dV_dt,dT_dt,SOC,mode,SOC_ECM,V_RC,V_ECM,mode_flag
3.700196793390264,-0.0039083057763083,6.390879339247714,0.0,0.003,0.0,,,0.0,charge,,,,0
3.848992739281723,0.7537772376801873,6.401102993733501,0.749,2.3535,1.0,0.1487959458914587,0.0102236544857863,0.0001041484627644,charge,,,,0
3.997788685173181,1.511462781136683,6.411326648219288,1.498,4.704,2.0,0.1487959458914582,0.0102236544857872,0.0003140738490334,charge,,,,0
4.0017328899245275,1.5114053048387095,6.413575310338131,1.498,4.718,3.0,0.0039442047513462,0.0022486621188431,0.0005239912524832,charge,,,,0
4.005677094675875,1.511347828540736,6.415823972456975,1.498,4.731999999999999,4.0,0.0039442047513471,0.002248662118844,0.0007339006731138,charge,,,,0
4.009621299427221,1.5112903522427623,6.418072634575818,1.498,4.746,5.0,0.0039442047513462,0.0022486621188431,0.0009438021109253,charge,,,,0
4.013565504178568,1.5112328759447893,6.420321296694661,1.498,4.76,6.0,0.0039442047513471,0.0022486621188431,0.0011536955659177,charge,,,,0
4.017509708929914,1.5111753996468158,6.422569958813504,1.498,4.774,7.0,0.0039442047513462,0.0022486621188431,0.0013635810380908,charge,,,,0
4.0214539136812615,1.5111179233488423,6.424818620932348,1.498,4.787999999999999,8.0,0.0039442047513471,0.002248662118844,0.0015734585274448,charge,,,,0
4.025398118432608,1.5110604470508688,6.4270672830511915,1.498,4.802,9.0,0.0039442047513462,0.0022486621188431,0.0017833280339797,charge,,,,0
4.02838467190992,1.5109819211990771,6.4294206126251945,1.498,4.8036666666666665,10.0,0.0029865534773119,0.002353329574003,0.0019931866341462,charge,,,,0
4.0313712253872325,1.5109033953472857,6.4317739421991975,1.498,4.8053333333333335,11.0,0.0029865534773128,0.002353329574003,0.0022030343279445,charge,,,,0
4.034357778864544,1.5108248694954938,6.4341272717732005,1.498,4.8069999999999995,12.0,0.0029865534773119,0.002353329574003,0.0024128711153744,charge,,,,0
4.037344332341856,1.510746343643702,6.436480601347203,1.498,4.808666666666666,13.0,0.0029865534773119,0.0023533295740021,0.002622696996436,charge,,,,0
4.040330885819169,1.5106678177919104,6.438833930921206,1.498,4.810333333333333,14.0,0.0029865534773128,0.002353329574003,0.0028325119711293,charge,,,,0
4.043317439296481,1.5105892919401187,6.441187260495209,1.498,4.812,15.0,0.0029865534773119,0.002353329574003,0.0030423160394543,charge,,,,0
4.045467920684145,1.5106691289231384,6.444832575104239,1.498,4.813571428571429,16.0,0.0021504813876642,0.00364531460903,0.0032521311962492,charge,,,,0
4.04761840207181,1.510748965906158,6.448477889713269,1.498,4.815142857142858,17.0,0.0021504813876642,0.00364531460903,0.003461957441514,charge,,,,0
4.049768883459474,1.5108288028891776,6.452123204322299,1.498,4.816714285714286,18.0,0.0021504813876642,0.00364531460903,0.0036717947752486,charge,,,,0
4.051919364847137,1.5109086398721974,6.455768518931328,1.498,4.8182857142857145,19.0,0.0021504813876633,0.0036453146090291,0.0038816431974531,charge,,,,0
4.0540698462348015,1.510988476855217,6.459413833540358,1.498,4.819857142857143,20.0,0.0021504813876642,0.00364531460903,0.0040915027081274,charge,,,,0
4.056220327622466,1.5110683138382366,6.463059148149388,1.498,4.821428571428572,21.0,0.0021504813876642,0.00364531460903,0.0043013733072716,charge,,,,0
4.05837080901013,1.5111481508212563,6.466704462758418,1.498,4.823,22.0,0.0021504813876642,0.00364531460903,0.0045112549948857,charge,,,,0
4.060582905622974,1.5110672882959904,6.472806055895209,1.498,4.825666666666667,23.0,0.002212096612844,0.0061015931367904,0.0047211254515934,charge,,,,0
4.062795002235819,1.5109864257707242,6.478907649031999,1.498,4.828333333333334,24.0,0.0022120966128449,0.0061015931367904,0.0049309846773949,charge,,,,0
4.065007098848663,1.510905563245458,6.48500924216879,1.498,4.831,25.0,0.002212096612844,0.0061015931367904,0.0051408326722901,charge,,,,0
4.067219195461507,1.510824700720192,6.49111083530558,1.498,4.833666666666667,26.0,0.002212096612844,0.0061015931367904,0.005350669436279,charge,,,,0
