cycle_id,capacity_ah,avg_temp,file,SOH
0,1.7059162227905784,8.283845932587244,00001_soc.csv,1.0
2,1.5485348224813833,8.218635429285047,00005_soc.csv,0.9077437694731885
4,1.5322953742570373,7.961357265649174,00007_soc.csv,0.8982242819348256
6,1.5116088197918427,7.995267280724801,00009_soc.csv,0.8860979218071547
8,1.4952479079348016,8.018815916744776,00011_soc.csv,0.8765072328633111
10,1.4770381629805176,8.043223821359414,00013_soc.csv,0.8658327667254042
12,1.4741028882972407,8.163653115126447,00017_soc.csv,0.8641121226257337
14,1.4630998371338713,8.241027109416667,00021_soc.csv,0.857662186212461
16,1.443790318786066,8.158049307112933,00023_soc.csv,0.8463430381266199
18,1.4283449182308543,8.26169724224141,00025_soc.csv,0.8372890175663689
20,1.4130769151400353,8.247705152750127,00027_soc.csv,0.8283389865584901
22,1.4013095055242992,8.279872200837728,00029_soc.csv,0.8214409868451826
24,1.4385449747798922,8.247347794301291,00033_soc.csv,0.8432682423446832
26,1.4343101039835442,8.174020735357537,00037_soc.csv,0.8407857811664781
28,1.4154353432111617,8.265811138872365,00039_soc.csv,0.8297214859096415
30,1.399265425580653,8.304793005405108,00041_soc.csv,0.8202427568756578
32,1.3785227734636976,8.33109648792861,00043_soc.csv,0.8080835125705512
34,1.3618167922979145,8.316334165100594,00045_soc.csv,0.7982905456343115
36,1.347939032038268,8.339298283485373,00049_soc.csv,0.7901554683812534
38,0.6548445970222164,7.2057785918055695,00051_soc.csv,0.3838667973688685
40,1.372145545364657,8.402505533341074,00053_soc.csv,0.8043452117009994
42,1.3217071627496773,8.317009269710063,00055_soc.csv,0.7747784710011123
44,1.3108860008679817,8.332417456995616,00057_soc.csv,0.7684351572222011
46,1.2968347254159838,8.414847018431509,00061_soc.csv,0.7601983661862308
48,1.295052498307379,8.40856771563631,00063_soc.csv,0.7591536331068481
50,1.2784898095352197,8.432237920506596,00065_soc.csv,0.7494446634922292
52,1.2668358937325255,8.305600001214838,00067_soc.csv,0.7426131933139162
54,1.2613122197706443,8.510198329357308,00069_soc.csv,0.7393752418318408
56,1.251293407356532,8.450437181773486,00073_soc.csv,0.7335022615059235
58,1.2507093783692342,8.446633313477427,00075_soc.csv,0.7331599064831531
60,1.2407762350334821,8.476832236246848,00077_soc.csv,0.7273371449647104
62,1.2254830746318022,8.471063087786304,00079_soc.csv,0.7183723668605061
64,1.2237900577394298,8.508792139861303,00081_soc.csv,0.717379928386826
66,1.2950622031972812,8.481133045976764,00085_soc.csv,0.7591593220672862
68,1.3024422659165678,8.56721332677467,00089_soc.csv,0.7634854798355817
70,1.2804332969170698,8.35443025420307,00091_soc.csv,0.7505839265790594
72,1.2672525868100168,8.495113066213365,00093_soc.csv,0.7428574568198987
74,1.2506446117066803,8.435965584462103,00095_soc.csv,0.7331219405727006
